2025-11-03 12:31:12 | 세션 시작: session_034
2025-11-03 12:31:12 | 폴더 경로: experiments/20251103/20251103_123112_session_034
2025-11-03 12:31:12 | ============================================================
2025-11-03 12:31:12 | 전체 데이터 파이프라인 실행
2025-11-03 12:31:12 | ============================================================
2025-11-03 12:31:12 | ============================================================
2025-11-03 12:31:12 | Phase 1: arXiv 논문 수집
2025-11-03 12:31:12 | ============================================================
2025-11-03 12:33:50 | ======================================================================
2025-11-03 12:33:50 | arXiv 논문 수집 시작
2025-11-03 12:33:50 | ======================================================================
2025-11-03 12:33:50 | 2025-11-03 12:31:13 | 세션 시작: session_035
2025-11-03 12:33:50 | 2025-11-03 12:31:13 | 폴더 경로: experiments/20251103/20251103_123113_session_035
2025-11-03 12:33:50 | 2025-11-03 12:31:13 | 키워드 수집 시작: transformer attention
2025-11-03 12:33:50 | 2025-11-03 12:31:13 | 검색 시작: query=transformer attention, max_results=15
2025-11-03 12:33:50 | 2025-11-03 12:31:15 | 다운로드 완료: Simulating Hard Attention Using Soft Attention (2412.09925v2)
2025-11-03 12:33:50 | 2025-11-03 12:31:16 | 다운로드 완료: Attention-Only Transformers and Implementing MLPs with Attention Heads (2309.08593v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:21 | 다운로드 완료: Generic Attention-model Explainability for Interpreting Bi-Modal and Encoder-Decoder Transformers (2103.15679v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:23 | 다운로드 완료: Pale Transformer: A General Vision Transformer Backbone with Pale-Shaped Attention (2112.14000v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:24 | 다운로드 완료: Adaptive Sparse and Monotonic Attention for Transformer-based Automatic Speech Recognition (2209.15176v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:25 | 다운로드 완료: Armour: Generalizable Compact Self-Attention for Vision Transformers (2108.01778v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:26 | 다운로드 완료: BOAT: Bilateral Local Attention Vision Transformer (2201.13027v2)
2025-11-03 12:33:50 | 2025-11-03 12:31:26 | 다운로드 완료: WavSpA: Wavelet Space Attention for Boosting Transformers' Long Sequence Learning Ability (2210.01989v3)
2025-11-03 12:33:50 | 2025-11-03 12:31:32 | 다운로드 완료: Self-attention in Vision Transformers Performs Perceptual Grouping, Not Attention (2303.01542v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:34 | 다운로드 완료: Selective Attention Improves Transformer (2410.02703v2)
2025-11-03 12:33:50 | 2025-11-03 12:31:36 | 다운로드 완료: The Hedgehog & the Porcupine: Expressive Linear Attentions with Softmax Mimicry (2402.04347v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:38 | 다운로드 완료: Unique Hard Attention: A Tale of Two Sides (2503.14615v2)
2025-11-03 12:33:50 | 2025-11-03 12:31:39 | 다운로드 완료: CAT: Cross Attention in Vision Transformer (2106.05786v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:40 | 다운로드 완료: You Only Need Less Attention at Each Stage in Vision Transformers (2406.00427v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:42 | 다운로드 완료: Generalized Probabilistic Attention Mechanism in Transformers (2410.15578v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:42 | 키워드 수집 시작: BERT GPT
2025-11-03 12:33:50 | 2025-11-03 12:31:42 | 검색 시작: query=BERT GPT, max_results=15
2025-11-03 12:33:50 | 2025-11-03 12:31:44 | 다운로드 완료: FoundationLayerNorm: Scaling BERT and GPT to 1,000 Layers (2204.04477v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:45 | 다운로드 완료: Adapting GPT, GPT-2 and BERT Language Models for Speech Recognition (2108.07789v2)
2025-11-03 12:33:50 | 2025-11-03 12:31:46 | 다운로드 완료: (Chat)GPT v BERT: Dawn of Justice for Semantic Change Detection (2401.14040v3)
2025-11-03 12:33:50 | 2025-11-03 12:31:49 | 다운로드 완료: Assessing Large Language Models for Online Extremism Research: Identification, Explanation, and New Knowledge (2408.16749v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:50 | 다운로드 완료: BERT vs GPT for financial engineering (2405.12990v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:51 | 다운로드 완료: Selecting Between BERT and GPT for Text Classification in Political Science Research (2411.05050v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:56 | 다운로드 완료: Mogo: RQ Hierarchical Causal Transformer for High-Quality 3D Human Motion Generation (2412.07797v1)
2025-11-03 12:33:50 | 2025-11-03 12:31:58 | 다운로드 완료: Evaluation of GPT and BERT-based models on identifying protein-protein interactions in biomedical text (2303.17728v2)
2025-11-03 12:33:50 | 2025-11-03 12:31:59 | 다운로드 완료: MedicalBERT: enhancing biomedical natural language processing using pretrained BERT-based model (2507.08013v2)
2025-11-03 12:33:50 | 2025-11-03 12:32:00 | 다운로드 완료: Semantics-aware BERT for Language Understanding (1909.02209v3)
2025-11-03 12:33:50 | 2025-11-03 12:32:01 | 다운로드 완료: KI-BERT: Infusing Knowledge Context for Better Language and Domain Understanding (2104.08145v2)
2025-11-03 12:33:50 | 2025-11-03 12:32:02 | 다운로드 완료: GPT or BERT: why not both? (2410.24159v2)
